product_id,product_name,brand,category,pack_size,cold_chain_flag,regulated_product_flag
PRD0168,Refrigerated Probiotic Drops 4,Nurture Nest,baby care,80 pack,1,0
PRD0169,Baby Sunscreen SPF 50 4,Gentle Sprout,baby care,15 g,0,0
PRD0170,Baby Rice Cereal 5,Little Harbour,baby care,120 g,0,0
PRD0171,Organic Fruit Puree 5,Tiny Steps,baby care,100 mL,0,0
PRD0172,Vegetable Snack 5,BabyKind,baby care,200 mL,0,0
PRD0173,Paracetamol Tablets,ReliefPoint,pain relief,16 tablets,0,1
PRD0174,Ibuprofen Tablets,PharmaEase,pain relief,20 tablets,0,1
PRD0175,Rapid Pain Relief Caplets,Daily Relief,pain relief,24 caplets,0,1
PRD0176,Muscle Relief Gel,MediHarbour,pain relief,50 tablets,0,1
PRD0177,Heat Patch,CareFirst,pain relief,75 g,0,1
PRD0178,Cold Pack,ReliefPoint,pain relief,100 mL,0,1
PRD0179,Period Pain Relief Tablets,PharmaEase,pain relief,5 pack,0,1
PRD0180,Back Pain Relief Tablets,Daily Relief,pain relief,16 tablets,0,1
PRD0181,Children’s Pain Relief Liquid,MediHarbour,pain relief,20 tablets,0,1
PRD0182,Topical Pain Relief Cream,CareFirst,pain relief,24 caplets,0,1
PRD0183,Paracetamol Tablets 2,ReliefPoint,pain relief,75 g,0,1
PRD0184,Ibuprofen Tablets 2,PharmaEase,pain relief,100 mL,0,1
PRD0185,Rapid Pain Relief Caplets 2,Daily Relief,pain relief,5 pack,0,1
PRD0186,Muscle Relief Gel 2,MediHarbour,pain relief,16 tablets,0,1
PRD0187,Heat Patch 2,CareFirst,pain relief,20 tablets,0,1
PRD0188,Cold Pack 2,ReliefPoint,pain relief,24 caplets,0,1
PRD0189,Period Pain Relief Tablets 2,PharmaEase,pain relief,50 tablets,0,1
PRD0190,Back Pain Relief Tablets 2,Daily Relief,pain relief,75 g,0,1
PRD0191,Children’s Pain Relief Liquid 2,MediHarbour,pain relief,100 mL,0,1
PRD0192,Topical Pain Relief Cream 2,CareFirst,pain relief,5 pack,0,1
PRD0193,Paracetamol Tablets 3,ReliefPoint,pain relief,20 tablets,0,1
PRD0194,Ibuprofen Tablets 3,PharmaEase,pain relief,24 caplets,0,1
PRD0195,Rapid Pain Relief Caplets 3,Daily Relief,pain relief,50 tablets,0,1
PRD0196,Muscle Relief Gel 3,MediHarbour,pain relief,75 g,0,1
PRD0197,Heat Patch 3,CareFirst,pain relief,100 mL,0,1
PRD0198,Cold Pack 3,ReliefPoint,pain relief,5 pack,0,1
PRD0199,Period Pain Relief Tablets 3,PharmaEase,pain relief,16 tablets,0,1
PRD0200,Back Pain Relief Tablets 3,Daily Relief,pain relief,20 tablets,0,1
PRD0201,Children’s Pain Relief Liquid 3,MediHarbour,pain relief,24 caplets,0,1
PRD0202,Topical Pain Relief Cream 3,CareFirst,pain relief,50 tablets,0,1
PRD0203,Paracetamol Tablets 4,ReliefPoint,pain relief,100 mL,0,1
PRD0204,Ibuprofen Tablets 4,PharmaEase,pain relief,5 pack,0,1
PRD0205,Rapid Pain Relief Caplets 4,Daily Relief,pain relief,16 tablets,0,1
PRD0206,Muscle Relief Gel 4,MediHarbour,pain relief,20 tablets,0,1
PRD0207,Heat Patch 4,CareFirst,pain relief,24 caplets,0,1
PRD0208,Cold Pack 4,ReliefPoint,pain relief,50 tablets,0,1
PRD0209,Period Pain Relief Tablets 4,PharmaEase,pain relief,75 g,0,1
PRD0210,Back Pain Relief Tablets 4,Daily Relief,pain relief,100 mL,0,1
PRD0211,Children’s Pain Relief Liquid 4,MediHarbour,pain relief,5 pack,0,1
PRD0212,Topical Pain Relief Cream 4,CareFirst,pain relief,16 tablets,0,1
PRD0213,Paracetamol Tablets 5,ReliefPoint,pain relief,24 caplets,0,1
PRD0214,Ibuprofen Tablets 5,PharmaEase,pain relief,50 tablets,0,1
PRD0215,Rapid Pain Relief Caplets 5,Daily Relief,pain relief,75 g,0,1
PRD0216,Day Cold Relief Tablets,BreatheWell,cold & flu,10 tablets,0,1
PRD0217,Night Cold Relief Tablets,WinterCare,cold & flu,20 tablets,0,1
PRD0218,Cough Relief Syrup,ClearAir,cold & flu,24 lozenges,0,1
PRD0219,Dry Cough Lozenges,PharmaEase,cold & flu,100 mL,0,1
PRD0220,Nasal Saline Spray,CareFirst,cold & flu,200 mL,0,1
PRD0221,Chest Rub,BreatheWell,cold & flu,10 sachets,0,1
PRD0222,Sore Throat Spray,WinterCare,cold & flu,10 tablets,0,1
PRD0223,Cold & Flu Sachets,ClearAir,cold & flu,20 tablets,0,1
PRD0224,Children’s Cough Liquid,PharmaEase,cold & flu,24 lozenges,0,1
PRD0225,Decongestant Tablets,CareFirst,cold & flu,100 mL,0,1
PRD0226,Day Cold Relief Tablets 2,BreatheWell,cold & flu,10 sachets,0,1
PRD0227,Night Cold Relief Tablets 2,WinterCare,cold & flu,10 tablets,0,1
PRD0228,Cough Relief Syrup 2,ClearAir,cold & flu,20 tablets,0,1
PRD0229,Dry Cough Lozenges 2,PharmaEase,cold & flu,24 lozenges,0,1
PRD0230,Nasal Saline Spray 2,CareFirst,cold & flu,100 mL,0,1
PRD0231,Chest Rub 2,BreatheWell,cold & flu,200 mL,0,1
PRD0232,Sore Throat Spray 2,WinterCare,cold & flu,10 sachets,0,1
PRD0233,Cold & Flu Sachets 2,ClearAir,cold & flu,10 tablets,0,1
PRD0234,Children’s Cough Liquid 2,PharmaEase,cold & flu,20 tablets,0,1
PRD0235,Decongestant Tablets 2,CareFirst,cold & flu,24 lozenges,0,1
PRD0236,Day Cold Relief Tablets 3,BreatheWell,cold & flu,200 mL,0,1
PRD0237,Night Cold Relief Tablets 3,WinterCare,cold & flu,10 sachets,0,1
PRD0238,Cough Relief Syrup 3,ClearAir,cold & flu,10 tablets,0,1
PRD0239,Dry Cough Lozenges 3,PharmaEase,cold & flu,20 tablets,0,1
PRD0240,Nasal Saline Spray 3,CareFirst,cold & flu,24 lozenges,0,1
PRD0241,Chest Rub 3,BreatheWell,cold & flu,100 mL,0,1
PRD0242,Sore Throat Spray 3,WinterCare,cold & flu,200 mL,0,1
PRD0243,Cold & Flu Sachets 3,ClearAir,cold & flu,10 sachets,0,1
PRD0244,Children’s Cough Liquid 3,PharmaEase,cold & flu,10 tablets,0,1
PRD0245,Decongestant Tablets 3,CareFirst,cold & flu,20 tablets,0,1
PRD0246,Day Cold Relief Tablets 4,BreatheWell,cold & flu,100 mL,0,1
PRD0247,Night Cold Relief Tablets 4,WinterCare,cold & flu,200 mL,0,1
PRD0248,Cough Relief Syrup 4,ClearAir,cold & flu,10 sachets,0,1
PRD0249,Dry Cough Lozenges 4,PharmaEase,cold & flu,10 tablets,0,1
PRD0250,Nasal Saline Spray 4,CareFirst,cold & flu,20 tablets,0,1
PRD0251,Chest Rub 4,BreatheWell,cold & flu,24 lozenges,0,1
PRD0252,Sore Throat Spray 4,WinterCare,cold & flu,100 mL,0,1
PRD0253,Cold & Flu Sachets 4,ClearAir,cold & flu,200 mL,0,1
PRD0254,Children’s Cough Liquid 4,PharmaEase,cold & flu,10 sachets,0,1
PRD0255,Decongestant Tablets 4,CareFirst,cold & flu,10 tablets,0,1
PRD0256,Day Cold Relief Tablets 5,BreatheWell,cold & flu,24 lozenges,0,1
PRD0257,Night Cold Relief Tablets 5,WinterCare,cold & flu,100 mL,0,1
PRD0258,Cough Relief Syrup 5,ClearAir,cold & flu,200 mL,0,1
PRD0259,Hand Sanitiser,Everyday Care,personal care,50 mL,0,0
PRD0260,Body Wash,Fresh Coast,personal care,100 mL,0,0
PRD0261,Shampoo,Pure Routine,personal care,250 mL,0,0
PRD0262,Conditioner,Wellbeing Co,personal care,500 mL,0,0
PRD0263,Deodorant Roll-On,Gentle Daily,personal care,100 pack,0,0
PRD0264,Cotton Tips,Everyday Care,personal care,200 pack,0,0
PRD0265,Facial Tissues,Fresh Coast,personal care,12 pack,0,0
PRD0266,Feminine Hygiene Pads,Pure Routine,personal care,24 pack,0,0
PRD0267,Shaving Gel,Wellbeing Co,personal care,50 mL,0,0
PRD0268,Foot Care Spray,Gentle Daily,personal care,100 mL,0,0
PRD0269,Hand Sanitiser 2,Everyday Care,personal care,500 mL,0,0
PRD0270,Body Wash 2,Fresh Coast,personal care,100 pack,0,0
PRD0271,Shampoo 2,Pure Routine,personal care,200 pack,0,0
PRD0272,Conditioner 2,Wellbeing Co,personal care,12 pack,0,0
PRD0273,Deodorant Roll-On 2,Gentle Daily,personal care,24 pack,0,0
PRD0274,Cotton Tips 2,Everyday Care,personal care,50 mL,0,0
PRD0275,Facial Tissues 2,Fresh Coast,personal care,100 mL,0,0
PRD0276,Feminine Hygiene Pads 2,Pure Routine,personal care,250 mL,0,0
PRD0277,Shaving Gel 2,Wellbeing Co,personal care,500 mL,0,0
PRD0278,Foot Care Spray 2,Gentle Daily,personal care,100 pack,0,0
PRD0279,Hand Sanitiser 3,Everyday Care,personal care,12 pack,0,0
PRD0280,Body Wash 3,Fresh Coast,personal care,24 pack,0,0
PRD0281,Shampoo 3,Pure Routine,personal care,50 mL,0,0
PRD0282,Conditioner 3,Wellbeing Co,personal care,100 mL,0,0
PRD0283,Deodorant Roll-On 3,Gentle Daily,personal care,250 mL,0,0
PRD0284,Cotton Tips 3,Everyday Care,personal care,500 mL,0,0
PRD0285,Facial Tissues 3,Fresh Coast,personal care,100 pack,0,0
PRD0286,Feminine Hygiene Pads 3,Pure Routine,personal care,200 pack,0,0
PRD0287,Shaving Gel 3,Wellbeing Co,personal care,12 pack,0,0
PRD0288,Foot Care Spray 3,Gentle Daily,personal care,24 pack,0,0
PRD0289,Hand Sanitiser 4,Everyday Care,personal care,100 mL,0,0
PRD0290,Body Wash 4,Fresh Coast,personal care,250 mL,0,0
PRD0291,Shampoo 4,Pure Routine,personal care,500 mL,0,0
PRD0292,Conditioner 4,Wellbeing Co,personal care,100 pack,0,0
PRD0293,Deodorant Roll-On 4,Gentle Daily,personal care,200 pack,0,0
PRD0294,Cotton Tips 4,Everyday Care,personal care,12 pack,0,0
PRD0295,Facial Tissues 4,Fresh Coast,personal care,24 pack,0,0
PRD0296,Feminine Hygiene Pads 4,Pure Routine,personal care,50 mL,0,0
PRD0297,Shaving Gel 4,Wellbeing Co,personal care,100 mL,0,0
PRD0298,Foot Care Spray 4,Gentle Daily,personal care,250 mL,0,0
PRD0299,Hand Sanitiser 5,Everyday Care,personal care,100 pack,0,0
PRD0300,Body Wash 5,Fresh Coast,personal care,200 pack,0,0
