store_id,store_name,state,postcode,latitude,longitude,region
CW_OSM_NODE_3450558021,Chemist Warehouse - Penrith (3450558021),NSW,,-33.7512167,150.6954313,NSW & ACT
CW_OSM_NODE_12706389114,Chemist Warehouse - Parramatta (12706389114),NSW,,-33.8171648,151.0030161,NSW & ACT
CW_OSM_NODE_4417478123,Chemist Warehouse - Casula,NSW,,-33.9593133,150.8830785,NSW & ACT
CW_OSM_NODE_7687055639,Chemist Warehouse - Epping,VIC,,-37.6552921,145.0228794,VIC & TAS
CW_OSM_NODE_830155138,Chemist Warehouse - Parabanks,SA,,-34.7613130,138.6469157,SA & NT
CW_OSM_NODE_2059121982,Chemist Warehouse - Traralgon,VIC,,-38.1960611,146.5381875,VIC & TAS
CW_OSM_NODE_2297709407,Chemist Warehouse - Woodville Gardens,SA,,-34.8693962,138.5482625,SA & NT
CW_OSM_NODE_2771575192,Chemist Warehouse - Caboolture (2771575192),QLD,,-27.0846839,152.9792666,QLD
CW_OSM_NODE_6313806654,Chemist Warehouse - Macgregor,QLD,,-27.5629963,153.0717747,QLD
CW_OSM_NODE_7604238769,Chemist Warehouse - Moonee Ponds,VIC,,-37.7666655,144.9217414,VIC & TAS
CW_OSM_NODE_8105845040,Chemist Warehouse - Melbourne William Street,VIC,,-37.8115594,144.9565407,VIC & TAS
CW_OSM_NODE_8692500207,Chemist Warehouse - Ashgrove,QLD,,-27.4448747,152.9936967,QLD
CW_OSM_NODE_9391453104,Chemist Warehouse - Saints Shopping Centre Salisbury Plains,SA,,-34.7659995,138.6676325,SA & NT
CW_OSM_NODE_10160675828,Chemist Warehouse - Pakenham,VIC,,-38.0787138,145.4831111,VIC & TAS
CW_OSM_NODE_10673454784,Chemist Warehouse - Cannington South,WA,,-32.0246492,115.9399473,WA
CW_OSM_NODE_11934024463,Chemist Warehouse - Casuarina,NT,,-12.3758125,130.8796817,SA & NT
CW_OSM_NODE_13148609682,Chemist Warehouse - North Parramatta,NSW,,-33.8058018,151.0060473,NSW & ACT
CW_OSM_WAY_69253609,Chemist Warehouse - Salisbury,SA,,-34.7621836,138.6471576,SA & NT
CW_OSM_WAY_533275937,Chemist Warehouse - Indooroopilly,QLD,,-27.4977412,152.9761307,QLD
CW_OSM_WAY_683625043,Chemist Warehouse - Woolloongabba,QLD,,-27.4902264,153.0358975,QLD
CW_OSM_NODE_445923817,Chemist Warehouse - Annerley,QLD,,-27.5121874,153.0312214,QLD
CW_OSM_NODE_1347449383,Chemist Warehouse - Beenleigh,QLD,,-27.7156261,153.2027709,QLD
CW_OSM_NODE_2029493607,Chemist Warehouse - Shailer Park,QLD,,-27.6628487,153.1789828,QLD
CW_OSM_NODE_3076312675,Chemist Warehouse - safety beach,VIC,,-38.3112513,144.9933632,VIC & TAS
CW_OSM_NODE_3096941708,Chemist Warehouse - Lawnton,QLD,,-27.2893230,152.9843735,QLD
CW_OSM_NODE_3796152686,Chemist Warehouse - Mitchell Centre,NT,,-12.4639508,130.8404194,SA & NT
CW_OSM_NODE_3833688974,Chemist Warehouse - Nerang,QLD,,-27.9936870,153.3392175,QLD
CW_OSM_NODE_4221665898,Chemist Warehouse - Varsity Lakes,QLD,,-28.0854883,153.4242912,QLD
CW_OSM_NODE_4601440812,Chemist Warehouse - Chermside,QLD,,-27.3850981,153.0302250,QLD
